idItem,type,instance
30,transcription_rev,Herve Salmon
30,transcription_rev,Luciana Farias
30,translation_rev,Alexandre Caroli
30,translation_rev,Fábio Fortes
30,translation_rev,Humberto Schubert Coelho
31,transcription_rev,Luciana Farias
31,transcription_rev,Philippe Gilbert
31,transcription_rev,Herve Salmon
31,translation_rev,Brutus Abel
31,translation_rev,Fábio Fortes
31,translation_rev,Humberto Schubert Coelho
32,transcription_rev,Brutus Abel
32,transcription_rev,Philippe Gilbert
32,translation_rev,Alexandre Caroli
32,translation_rev,Fábio Fortes
32,translation_rev,Humberto Schubert Coelho
33,transcription_rev,Brutus Abel
33,transcription_rev,Luciana Farias
33,transcription_rev,Philippe Gilbert
33,translation_rev,Alexandre Caroli
33,translation_rev,Fábio Fortes
33,translation_rev,Humberto Schubert Coelho
34,transcription_rev,Brutus Abel
34,transcription_rev,Herve Salmon
34,transcription_rev,Philippe Gilbert
34,translation_rev,Alexandre Caroli
34,translation_rev,Fábio Fortes
34,translation_rev,Humberto Schubert Coelho
35,transcription_rev,Brutus Abel
35,transcription_rev,Philippe Gilbert
35,translation_rev,Alexandre Caroli
35,translation_rev,Herve Salmon
35,translation_rev,Humberto Schubert Coelho
36,transcription_rev,Brutus Abel
36,transcription_rev,Luciana Farias
36,translation_rev,Alexandre Caroli
36,translation_rev,Luciana Farias
36,translation_rev,Humberto Schubert Coelho
37,transcription_rev,Brutus Abel
37,transcription_rev,Luciana Farias
37,translation_rev,Alexandre Caroli
37,translation_rev,Humberto Schubert Coelho
38,transcription_rev,Brutus Abel
38,transcription_rev,Herve Salmon
38,translation_rev,Alexandre Caroli
38,translation_rev,Humberto Schubert Coelho
39,transcription_rev,Brutus Abel
39,transcription_rev,Herve Salmon
39,translation_rev,Alexandre Caroli
39,translation_rev,Humberto Schubert Coelho
40,transcription_rev,Brutus Abel
40,transcription_rev,Herve Salmon
40,transcription_rev,Luciana Farias
40,translation_rev,Alexandre Caroli
40,translation_rev,Luciana Farias
40,translation_rev,Humberto Schubert Coelho
41,transcription_rev,Fábio Fortes
41,transcription_rev,Philippe Gilbert
41,translation_rev,Humberto Schubert Coelho
41,translation_rev,Fábio Fortes
